Creation Time: 2022_3_23-11-44-53
11-44-53 | [INFO] SafeZoneCore - Started !
11-44-53 | [INFO] TraderPlusCore - Started !
11-44-53 | [INFO] TraderPlus file exist ! loading...
11-44-53 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
11-44-53 | [INFO] TraderPlus file exist ! loading...
11-44-53 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
11-44-53 | [INFO] TraderPlus file exist ! loading...
11-44-53 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
11-44-53 | [INFO] CheckForSpacesToRemove - Started
11-44-53 | [INFO] CheckForSpacesToRemove - Ended
11-44-53 | [INFO] TraderPlus file exist ! loading...
11-44-53 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
11-44-53 | [INFO] TraderPlusServer - Started
11-44-53 | [INFO] TraderPlusBankingCore - Started !
11-44-53 | [ERROR] TraderPlusJsonLoader::LoadFromFile ERROR Parsing $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.jsonJSON ERROR:
The document is empty.
11-44-53 | [INFO] TraderPlusBankingServer - Started
11-44-53 | [INFO] CarLockCore - Started !
11-44-53 | [INFO] CarLockServer - Started
11-45-2 | [INFO] ID_count: 11
11-45-2 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_0.json
11-45-2 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_1.json
11-45-2 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_2.json
11-45-2 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_3.json
11-45-2 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_4.json
11-45-2 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_5.json
11-45-2 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_6.json
11-45-2 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_7.json
11-45-2 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_8.json
11-45-2 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_9.json
11-45-2 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_10.json
11-45-3 | [INFO] obj created: SurvivorM_Boris
11-45-3 | [INFO] TraderPlayer created and added!: 
11-45-3 | [INFO] obj created: SurvivorM_Boris
11-45-3 | [INFO] TraderPlayer created and added!: 
11-45-3 | [INFO] obj created: SurvivorM_Boris
11-45-3 | [INFO] TraderPlayer created and added!: 
11-45-3 | [INFO] obj created: SurvivorM_Boris
11-45-3 | [INFO] TraderPlayer created and added!: 
11-45-3 | [INFO] obj created: SurvivorM_Boris
11-45-3 | [INFO] TraderPlayer created and added!: 
11-45-3 | [INFO] obj created: SurvivorM_Boris
11-45-3 | [INFO] TraderPlayer created and added!: 
11-45-3 | [INFO] obj created: SurvivorM_Boris
11-45-3 | [INFO] TraderPlayer created and added!: 
11-45-3 | [INFO] obj created: SurvivorM_Boris
11-45-3 | [INFO] TraderPlayer created and added!: 
11-45-3 | [INFO] obj created: SurvivorM_Boris
11-45-3 | [INFO] TraderPlayer created and added!: 
11-45-3 | [INFO] obj created: SurvivorM_Boris
11-45-3 | [INFO] TraderPlayer created and added!: 
11-45-3 | [INFO] obj created: SurvivorM_Boris
11-45-3 | [INFO] TraderPlayer created and added!: 
